	X4EBP1	X4EBP1p37	AcCoAp	Akt	Aktp308	Aktp473	AMPKp	B.Catenin	Bcl2	Caveolin.1	CCNB1	CCND1	CD31	cJUN	cleaved.caspase.7	Collagen.VI	E.cadherin	EGFR	EGFRp1068	ER	ERK2	Fortilin	GSK3	GSK3p21.9	IGFR1	JNK	JNKp183.5	MAPKp	MEK1	mTor	p110alpha	p21	p38	p38p	p53	p70S6.Kinase	p70S6Kp389	PAI1	PDK1	PDK1p241	PKCalphap657	PKCalpha	PR	PTEN	Rab25	Rb	S6p235.236	S6p240.244	src	srcp416	srcp527	stat3	stat3p705	TSC2	VEGFR2	COMT	ERp118	Stathmin	Telomerase	YB1	CCNE1	AR	GATA3	NOTCH3	IGFBP2	FGFR1	HER2	HER2p1248	EN1	EIG121
akt_100_gene_list/adap_adap_single/akt	0.121785753364701	0.0904913010176168	0.442608600503337	0.511325090272459	-0.255060728744939	-0.252653463179779	0.249808512966408	-0.379582011160958	0.113907429696903	-0.677645256592625	-0.441733231206915	0.341941131414816	0.333406280774702	-0.560345770872087	0.0414706204179888	-0.191158770106139	0.216106795054163	-0.317868475763213	-0.249589670642302	0.662107451581136	-0.196848670532881	-0.394463289200131	0.470182733340628	0.160739687055477	0.0349053506948244	0.045190939927782	-0.156800525221578	-0.383302330670752	-0.121566911040595	0.197505197505197	0.0467228361965204	-0.208447313710472	0.101214574898785	-0.655761024182077	-0.220921326184484	0.528832476200897	0.30298719772404	-0.378487799540431	0.619652040704672	0.660137870664186	-0.45989714410767	-0.419192471824051	0.458584090163037	0.474340737498632	0.413064886749097	0.051537367326841	0.0114892220155378	0.118940803151329	-0.147827989933253	-0.0462851515483094	-0.192909508698982	-0.526425210635737	-0.470182733340628	0.425976583871321	-0.432104168946274	0.422912791333844	0.682022103074735	-0.154612101980523	-0.542400700295437	-0.443046285151548	-0.199255936098041	0.665171244118612	0.513075828865302	0.23514607725134	0.661669766932925	-0.081956450377503	0.562096509464931	0.571287887077361	-0.24193018929861	0.361418098260203
akt_10_gene_list/adap_adap_single/akt	0.0303096618886093	0.0436590436590437	0.317211948790896	0.496662654557391	-0.122223438012912	-0.123536491957545	0.204508151876573	-0.330780172885436	0.150235255498413	-0.412846044424992	-0.508042455410876	0.223766276397855	0.3213699529489	-0.50060181639129	0.276069591859066	-0.00142247510668563	0.144764197395776	-0.0782361308677098	-0.197505197505197	0.603238866396761	-0.299704562862458	-0.311959733012365	0.408250355618777	0.228799649852281	-0.114126272021009	0.0410329357697779	-0.0594156909946384	-0.424663529926688	0.000328263486158223	0.21917058759164	0.245869351132509	-0.281759492285808	-0.0132399606083817	-0.606521501258343	-0.082394135025714	0.389867600393916	0.250246197614619	-0.204070467228362	0.527519422256264	0.51657730605099	-0.347631031841558	-0.348725243462085	0.440420177262282	0.429259218732903	0.229456176824598	0.215887952730058	0.0570084254294781	0.113250902724587	-0.172776014881278	-0.134040923514608	-0.202319728635518	-0.33253091147828	-0.415690994638363	0.351351351351351	-0.29861035124193	0.38483422693949	0.674143779406937	0.0850202429149797	-0.404092351460772	-0.413721413721414	-0.241492504650399	0.611336032388664	0.311522048364154	0.244993981836087	0.426633110843637	-0.0686070686070686	0.385271911587701	0.406280774701827	-0.358135463398621	0.55531239741766
akt_125_gene_list/adap_adap_single/akt	0.155487471276945	0.115877010613853	0.441952073531021	0.504322135901083	-0.240398293029872	-0.242149031622716	0.247182405077142	-0.393150235255498	0.146296093664515	-0.702812123864755	-0.45070576649524	0.348287558813875	0.320494583652478	-0.579822737717475	0.045628624575993	-0.197067512856987	0.200568990042674	-0.357260094102199	-0.235364919575446	0.70259328154065	-0.227267753583543	-0.386803807856439	0.464930517562096	0.118284276179013	0.0414706204179888	0.0502243133822081	-0.137980085348506	-0.387022650180545	-0.134259765838713	0.188094977568662	0.0421271473903053	-0.238647554437028	0.0817376080533975	-0.677207571944414	-0.224422803370172	0.534960061275851	0.310865521391837	-0.393587919903709	0.613524455629719	0.665390086442718	-0.441295546558704	-0.421380895065106	0.497319181529708	0.463836305941569	0.408688040266988	0.0707954918481234	0.0320604004814531	0.127475653791443	-0.117846591530802	-0.0504431557063136	-0.195097931940037	-0.54371375424007	-0.440639019586388	0.442389758179232	-0.417660575555312	0.377612430244009	0.705875916402232	-0.156143998249261	-0.55531239741766	-0.417660575555312	-0.177590546011599	0.690556953714848	0.506510559142138	0.245212824160193	0.654666812561549	-0.0265893423788161	0.56647335594704	0.577853156800525	-0.266002844950213	0.377393587919904
akt_150_gene_list/adap_adap_single/akt	0.0828318196739249	0.0933362512309881	0.411532990480359	0.472589998905788	-0.236896815844184	-0.274537695590327	0.224641645694277	-0.417660575555312	0.101214574898785	-0.674581464055148	-0.455301455301455	0.267753583543057	0.316993106466791	-0.575445891235365	0.0775796038953934	-0.190502243133822	0.181748550169603	-0.343254185359449	-0.203851624904256	0.658387132071342	-0.206915417441733	-0.429696903381114	0.401247401247401	0.0828318196739249	0.070138964875807	0.05109968267863	-0.151110624794835	-0.32815406499617	-0.185687712003501	0.237772185140606	0.110843637159427	-0.235583761899551	0.12375533428165	-0.638910165225955	-0.241273662326294	0.479155268628953	0.261188313819893	-0.41678520625889	0.628405733668892	0.680271364481891	-0.44632892001313	-0.415909836962468	0.476966845387898	0.469526206368312	0.378925484188642	0.0793303424882372	0.0154283838494365	0.0915855126381442	-0.0972754130648867	0.0373126162599847	-0.159207790786738	-0.494693073640442	-0.370390633548528	0.417660575555312	-0.424225845278477	0.422037422037422	0.750519750519751	-0.194441404967721	-0.530364372469636	-0.449173870226502	-0.172338330233067	0.644162381004486	0.464055148265675	0.18721960827224	0.602582339424445	-0.12134806871649	0.608928766823504	0.622059306269833	-0.255060728744939	0.406499617025933
akt_15_gene_list/adap_adap_single/akt	0.0810810810810811	0.0804245541087646	0.40956340956341	0.545245650508808	-0.145639566692198	-0.14651493598862	0.246525878104825	-0.340409235146077	0.17124411861254	-0.630812999234052	-0.523580260422366	0.361855782908414	0.325090272458693	-0.564284932705985	0.191377612430244	-0.122661122661123	0.185906554327607	-0.208666156034577	-0.251778093883357	0.675894517999781	-0.202100886311413	-0.336251230988073	0.4531130320604	0.190502243133822	-0.0506619980304191	0.0318415581573476	-0.0876463508042455	-0.45070576649524	-0.0675128569865412	0.169931064667907	0.070138964875807	-0.313272786956997	0.00448626764416238	-0.645694277273225	-0.113907429696903	0.450049239522924	0.277163803479593	-0.377174745595798	0.609147609147609	0.60039391618339	-0.37805011489222	-0.386147280884123	0.499945289418974	0.465368202210307	0.357916621074516	0.0657621183936973	0.0521938942991574	0.123974176605756	-0.150454097822519	-0.124849545902177	-0.205383521172995	-0.507604770762665	-0.437575227048911	0.409125724915199	-0.38483422693949	0.470620417988839	0.743954480796586	-0.0473793631688368	-0.514826567458146	-0.463617463617464	-0.229675019148703	0.680490206805996	0.394463289200131	0.317430791115002	0.587263376737061	-0.0283400809716599	0.554655870445344	0.58004158004158	-0.315680052522158	0.472589998905788
akt_175_gene_list/adap_adap_single/akt	0.115001641317431	0.0992449939818361	0.443265127475654	0.501477185687712	-0.254404201772623	-0.293139293139293	0.244337454863771	-0.404748878433089	0.111500164131743	-0.712003501477186	-0.458365247838932	0.2894189736295	0.322901849217639	-0.581135791662107	0.0357807199912463	-0.211511106247948	0.200568990042674	-0.388335704125178	-0.178465915308021	0.671517671517671	-0.215887952730058	-0.40277929751614	0.412189517452675	0.0802057117846591	0.0668563300142247	0.0447532552795711	-0.153080205711785	-0.325527957106904	-0.201663201663202	0.215887952730058	0.075610022978444	-0.223328591749644	0.11937848779954	-0.645475434949119	-0.279352226720648	0.518984571616151	0.258781048254732	-0.454207243680928	0.62993762993763	0.682678630047051	-0.460553671079987	-0.435605646131962	0.472808841229894	0.495787285260969	0.414596783017836	0.0502243133822081	0.0265893423788161	0.0988073093336251	-0.101214574898785	0.0616041142356932	-0.155925155925156	-0.513513513513513	-0.377612430244009	0.425320056899004	-0.418535944851734	0.430572272677536	0.7524893314367	-0.197067512856987	-0.537148484516906	-0.438450596345333	-0.15089178247073	0.636940584309005	0.480030637925375	0.202100886311413	0.643287011708064	-0.111500164131743	0.618995513732356	0.630812999234052	-0.229456176824598	0.374110953058321
akt_200_gene_list/adap_adap_single/akt	0.11259437575227	0.0850202429149797	0.438012911697122	0.506510559142138	-0.270817376080534	-0.3053944632892	0.235583761899551	-0.414159098369625	0.0909289856658278	-0.69821643505854	-0.418317102527629	0.265784002626108	0.332749753802385	-0.575445891235365	0.0401575664733559	-0.227924280555859	0.205383521172995	-0.390742969690338	-0.12616259984681	0.662545136229347	-0.224641645694277	-0.397745924061713	0.385928438560017	0.0773607615712879	0.0918043549622497	0.0375314585840902	-0.147171462960937	-0.295984243352664	-0.204945836524784	0.208884998358683	0.0856767698872962	-0.209541525330999	0.127037969143232	-0.628405733668892	-0.308239413502571	0.534303534303534	0.258999890578838	-0.439763650289966	0.620308567676989	0.67545683335157	-0.469307364044206	-0.4371375424007	0.489222015537805	0.499069920122552	0.403873509136667	0.0668563300142247	0.0112703796914323	0.0867709815078236	-0.0845825582667688	0.0913666703140387	-0.150235255498413	-0.492285808075282	-0.355947040157566	0.40956340956341	-0.387460334828756	0.415472152314258	0.749863223547434	-0.209541525330999	-0.495568442936864	-0.438231754021228	-0.142138089506511	0.62315351789036	0.460115986431776	0.154174417332312	0.657511762774921	-0.140606193237772	0.631688368530474	0.645037750300908	-0.197286355181092	0.375424007002954
akt_20_gene_list/adap_adap_single/akt	0.144764197395776	0.0885217201006675	0.447204289309552	0.57566473355947	-0.267097056570741	-0.202757413283729	0.307364044206149	-0.377393587919904	0.132727869569975	-0.703906335485283	-0.532115111062479	0.457052193894299	0.249370828318197	-0.556844293686399	0.00886311412627202	-0.227486595907648	0.102527628843418	-0.320494583652478	-0.358354305722727	0.626654995076048	-0.189408031513295	-0.346317977896925	0.41678520625889	0.0865521391837181	-0.0340299813984024	-0.0335922967501915	-0.145639566692198	-0.358791990370938	-0.15570631360105	0.0434402013349382	-0.127256811467338	-0.308895940474888	0.0134588029324871	-0.651821862348178	-0.185250027355291	0.531677426414268	0.340846919794288	-0.417660575555312	0.573913994966626	0.534960061275851	-0.289637815953605	-0.299266878214247	0.446766604661341	0.509136667031404	0.366670314038735	-0.0587591640223219	0.0710143341722289	0.179778969252653	-0.181748550169603	-0.150672940146624	-0.264033264033264	-0.622059306269833	-0.515264252106357	0.385928438560017	-0.408031513294671	0.447641973957763	0.628405733668892	-0.235802604223657	-0.593172119487909	-0.438888280993544	-0.2215778531568	0.694933800196958	0.429696903381114	0.330999015209542	0.68661779188095	0.104934894408579	0.569974833132728	0.563409563409563	-0.248057774373564	0.350694824379035
akt_225_gene_list/adap_adap_single/akt	0.100339205602363	0.0591968486705329	0.439763650289966	0.50738592843856	-0.27825801510012	-0.317211948790896	0.22836196520407	-0.413064886749097	0.0491301017616807	-0.68902505744611	-0.415690994638363	0.273881168618011	0.325309114782799	-0.580698107013896	0.0539446328920013	-0.239304081409345	0.191158770106139	-0.366889156362841	-0.163365794944742	0.643068169383959	-0.231206915417442	-0.404092351460772	0.364700733121786	0.0672940146624357	0.0852390852390852	0.0298719772403983	-0.161396214027793	-0.267753583543057	-0.204945836524784	0.211729948572054	0.0705766495240179	-0.204508151876573	0.123974176605756	-0.634533318743845	-0.28701170806434	0.539993434730277	0.247620089725353	-0.434949119159645	0.635846372688478	0.668016194331984	-0.444359339096181	-0.417879417879418	0.473684210526316	0.504540978225189	0.404311193784878	0.069701280227596	0.020680599627968	0.102746471167524	-0.0964000437684648	0.0845825582667688	-0.171462960936645	-0.504759820549294	-0.350475982054929	0.379363168836853	-0.386366123208228	0.429478061057008	0.745267534741219	-0.24630703578072	-0.508261297734982	-0.429040376408797	-0.160520844731371	0.649414596783018	0.438450596345333	0.157238209869789	0.646569646569647	-0.146952620636831	0.649852281431229	0.662982820877558	-0.208447313710472	0.390742969690338
akt_250_gene_list/adap_adap_single/akt	0.0933362512309881	0.0475982054929423	0.452675347412189	0.497538023853813	-0.265565160302002	-0.304956778640989	0.242367873946821	-0.39599518546887	0.05109968267863	-0.675675675675676	-0.410001094211621	0.274537695590327	0.339752708173761	-0.580916949338002	0.051537367326841	-0.220483641536273	0.198599409125725	-0.339533865849655	-0.163146952620637	0.646788488893752	-0.248276616697669	-0.387898019476967	0.369296421928001	0.0736404420614947	0.0690447532552796	0.038844512528723	-0.146077251340409	-0.262720210088631	-0.187876135244556	0.216982164350585	0.0762665499507605	-0.205821205821206	0.11697122223438	-0.625779625779626	-0.274537695590327	0.548309443046285	0.262063683116315	-0.434073749863224	0.635408688040267	0.659919028340081	-0.404748878433089	-0.388335704125178	0.468213152423679	0.500164131743079	0.419411314148156	0.0694824379034905	0.0430025166867272	0.120472699420068	-0.11259437575227	0.09421162052741	-0.166210745158114	-0.509136667031404	-0.351132509027246	0.357478936426305	-0.388554546449283	0.423788160630266	0.7524893314367	-0.23952292373345	-0.519422256264361	-0.404092351460772	-0.158113579166211	0.650946493051756	0.42356931830616	0.179997811576759	0.630594156909946	-0.147609147609148	0.64591311959733	0.66626545573914	-0.228143122879965	0.413940256045519
